PING 8.8.8.8 (8.8.8.8) 56(84) bytes of data.
64 bytes from 8.8.8.8: icmp_seq=1 ttl=56 time=77.2 ms
64 bytes from 8.8.8.8: icmp_seq=2 ttl=56 time=75.9 ms
64 bytes from 8.8.8.8: icmp_seq=3 ttl=56 time=74.0 ms
64 bytes from 8.8.8.8: icmp_seq=4 ttl=56 time=75.6 ms
64 bytes from 8.8.8.8: icmp_seq=5 ttl=56 time=70.7 ms
64 bytes from 8.8.8.8: icmp_seq=6 ttl=56 time=76.3 ms
64 bytes from 8.8.8.8: icmp_seq=7 ttl=56 time=69.0 ms
64 bytes from 8.8.8.8: icmp_seq=8 ttl=56 time=70.2 ms
64 bytes from 8.8.8.8: icmp_seq=9 ttl=56 time=68.0 ms
64 bytes from 8.8.8.8: icmp_seq=10 ttl=56 time=70.1 ms
64 bytes from 8.8.8.8: icmp_seq=11 ttl=56 time=69.2 ms
64 bytes from 8.8.8.8: icmp_seq=12 ttl=56 time=67.7 ms
64 bytes from 8.8.8.8: icmp_seq=13 ttl=56 time=65.8 ms
64 bytes from 8.8.8.8: icmp_seq=14 ttl=56 time=62.6 ms
64 bytes from 8.8.8.8: icmp_seq=15 ttl=56 time=57.2 ms
64 bytes from 8.8.8.8: icmp_seq=16 ttl=56 time=61.5 ms
64 bytes from 8.8.8.8: icmp_seq=17 ttl=56 time=60.9 ms
64 bytes from 8.8.8.8: icmp_seq=18 ttl=56 time=69.1 ms
64 bytes from 8.8.8.8: icmp_seq=19 ttl=56 time=67.5 ms
64 bytes from 8.8.8.8: icmp_seq=20 ttl=56 time=65.8 ms
64 bytes from 8.8.8.8: icmp_seq=21 ttl=56 time=63.0 ms
64 bytes from 8.8.8.8: icmp_seq=22 ttl=56 time=76.6 ms
64 bytes from 8.8.8.8: icmp_seq=23 ttl=56 time=62.9 ms
64 bytes from 8.8.8.8: icmp_seq=24 ttl=56 time=60.6 ms
64 bytes from 8.8.8.8: icmp_seq=25 ttl=56 time=74.0 ms
64 bytes from 8.8.8.8: icmp_seq=26 ttl=56 time=334 ms
64 bytes from 8.8.8.8: icmp_seq=27 ttl=56 time=352 ms
64 bytes from 8.8.8.8: icmp_seq=28 ttl=56 time=329 ms
64 bytes from 8.8.8.8: icmp_seq=29 ttl=56 time=271 ms
64 bytes from 8.8.8.8: icmp_seq=30 ttl=56 time=229 ms
64 bytes from 8.8.8.8: icmp_seq=31 ttl=56 time=230 ms
64 bytes from 8.8.8.8: icmp_seq=32 ttl=56 time=228 ms
64 bytes from 8.8.8.8: icmp_seq=33 ttl=56 time=73.1 ms
64 bytes from 8.8.8.8: icmp_seq=34 ttl=56 time=62.5 ms
64 bytes from 8.8.8.8: icmp_seq=35 ttl=56 time=80.2 ms
64 bytes from 8.8.8.8: icmp_seq=36 ttl=56 time=70.7 ms
64 bytes from 8.8.8.8: icmp_seq=37 ttl=56 time=455 ms
64 bytes from 8.8.8.8: icmp_seq=38 ttl=56 time=68.3 ms
64 bytes from 8.8.8.8: icmp_seq=39 ttl=56 time=216 ms
64 bytes from 8.8.8.8: icmp_seq=40 ttl=56 time=136 ms
64 bytes from 8.8.8.8: icmp_seq=41 ttl=56 time=222 ms
64 bytes from 8.8.8.8: icmp_seq=42 ttl=56 time=67.8 ms
64 bytes from 8.8.8.8: icmp_seq=43 ttl=56 time=66.9 ms
64 bytes from 8.8.8.8: icmp_seq=44 ttl=56 time=63.6 ms
64 bytes from 8.8.8.8: icmp_seq=45 ttl=56 time=68.9 ms
64 bytes from 8.8.8.8: icmp_seq=46 ttl=56 time=61.3 ms
64 bytes from 8.8.8.8: icmp_seq=47 ttl=56 time=527 ms
64 bytes from 8.8.8.8: icmp_seq=48 ttl=56 time=70.8 ms
64 bytes from 8.8.8.8: icmp_seq=49 ttl=56 time=82.1 ms
64 bytes from 8.8.8.8: icmp_seq=50 ttl=56 time=81.0 ms
64 bytes from 8.8.8.8: icmp_seq=51 ttl=56 time=87.6 ms
64 bytes from 8.8.8.8: icmp_seq=52 ttl=56 time=67.4 ms
64 bytes from 8.8.8.8: icmp_seq=53 ttl=56 time=62.3 ms
64 bytes from 8.8.8.8: icmp_seq=54 ttl=56 time=80.6 ms
64 bytes from 8.8.8.8: icmp_seq=55 ttl=56 time=129 ms
64 bytes from 8.8.8.8: icmp_seq=56 ttl=56 time=356 ms
64 bytes from 8.8.8.8: icmp_seq=57 ttl=56 time=375 ms
64 bytes from 8.8.8.8: icmp_seq=58 ttl=56 time=207 ms
64 bytes from 8.8.8.8: icmp_seq=59 ttl=56 time=299 ms
64 bytes from 8.8.8.8: icmp_seq=60 ttl=56 time=233 ms
64 bytes from 8.8.8.8: icmp_seq=61 ttl=56 time=229 ms
64 bytes from 8.8.8.8: icmp_seq=62 ttl=56 time=295 ms
64 bytes from 8.8.8.8: icmp_seq=63 ttl=56 time=124 ms
64 bytes from 8.8.8.8: icmp_seq=64 ttl=56 time=332 ms
64 bytes from 8.8.8.8: icmp_seq=65 ttl=56 time=325 ms
64 bytes from 8.8.8.8: icmp_seq=66 ttl=56 time=181 ms
64 bytes from 8.8.8.8: icmp_seq=67 ttl=56 time=204 ms
64 bytes from 8.8.8.8: icmp_seq=68 ttl=56 time=207 ms
64 bytes from 8.8.8.8: icmp_seq=69 ttl=56 time=159 ms

--- 8.8.8.8 ping statistics ---
69 packets transmitted, 69 received, 0% packet loss, time 68088ms
rtt min/avg/max/mdev = 57.173/146.555/527.052/113.053 ms
